SpinCore CPMG NMR\NQR Experiment
Spectrometer Frequency (MHz): 29.9016
Spectral Width (kHz): 100.0
Number of Acquisition Points: 12114.0
90 Degree Pulse-Width (us): 1.5
90 Degree Pulse Phase (Degrees): 0.00
Transient Delay (us): 15.00
Tau (ms): 1.00
Points Per Echo: 0.0
Number of Echoes: 60.0
Repetition Delay (s): 
Number of Scans: 100.0
ADC Clock Frequency (MHz): 75.00
Blanking Bit: 2.0
Deblank Delay: 3000.00
Output Amplitude Scaling: 1.00
Bypass FIR: Yes
 
Time (s), Magnitude Data
0.0058600, 588218.9159531
0.0058700, 704663.2815217
0.0058800, 780541.6834840
0.0058900, 889438.4404539
0.0059000, 987328.6727514
0.0059100, 1072957.0927325
0.0059200, 1106992.9073291
0.0059300, 1123026.8430247
0.0059400, 1168231.2656238
0.0059500, 1331485.9110700
0.0059600, 1684395.9683712
0.0059700, 2203258.2894752
0.0059800, 2720350.0884182
0.0059900, 3132210.0117989
0.0060000, 3361039.0238526
0.0060100, 3444011.8095605
0.0060200, 3402957.5673176
0.0060300, 3303930.8606132
0.0060400, 3120034.2403163
0.0060500, 2841197.7083156
0.0060600, 2567639.3193757
0.0060700, 2315700.3834531
0.0060800, 2062717.1042356
0.0060900, 1786213.0488214
0.0061000, 1516774.4030003
0.0061100, 1240831.3728404
0.0061200, 1021416.8365819
0.0061300, 837078.4763647
0.0061400, 704286.9644350
0.0061500, 630676.7518817
0.0061600, 535958.6935101
0.0061700, 494892.0506585
0.0061800, 454984.0840865
0.0061900, 407042.3572308
0.0062000, 383327.0439833
0.0062100, 350049.3222305
0.0062200, 331774.9385427
0.0062300, 309661.1260620
0.0062400, 285899.4872363
0.0062500, 311068.3481182
0.0062600, 281889.1984486
0.0062700, 272546.0568785
0.0062800, 258897.8273991
0.0062900, 265643.0442530
0.0063000, 260408.7472302
0.0063100, 228807.1037228
0.0063200, 229869.1914155
0.0063300, 233736.5388980
0.0063400, 220356.2813854
0.0063500, 207184.4830797
0.0063600, 225078.3091482
0.0063700, 166337.6031600
0.0063800, 193670.9205147
0.0063900, 171703.6788336
0.0064000, 167771.4606541
0.0064100, 141898.2098442
0.0064200, 152989.2086456
0.0064300, 148677.0414355
0.0064400, 116339.2341818
0.0064500, 136072.4261928
0.0064600, 108219.0833633
0.0064700, 112580.1380084
0.0064800, 105744.3682850
0.0064900, 109615.0666469
0.0065000, 99129.1573302
0.0065100, 83884.7403107
0.0065200, 77134.1131861
0.0065300, 104048.2224452
0.0065400, 76737.5310327
0.0065500, 74126.2795842
0.0065600, 78456.2002266
0.0065700, 75279.6761749
0.0065800, 70581.8498057
0.0065900, 67215.7156177
0.0066000, 64343.9840855
0.0066100, 67529.9577151
0.0066200, 71222.9709644
0.0066300, 56697.2359467
0.0066400, 78906.1431385
0.0066500, 67700.5597097
0.0066600, 57087.8796593
0.0066700, 41797.2275875
0.0066800, 72581.8623073
0.0066900, 67354.7428026
0.0067000, 59496.6894709
0.0067100, 49811.2079155
0.0067200, 74478.8900360
0.0067300, 81819.1167210
0.0067400, 65206.6274546
0.0067500, 50810.5340653
0.0067600, 61444.4702150
0.0067700, 73095.1126478
